url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/5991845,WAHYUDIN,Universitas Pendidikan Indonesia,S3 - Pendidikan Dasar,Pendidikan Matematika,6.012,910,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6684027,NUR ALAMSYAH,Universitas Informatika Dan Bisnis Indonesia,S1 - Sistem Informasi,"Algorithm Model, Machine Learning, Data Science",2.317,1.124,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5975143,GANDEVA BAYU SATRYA,Universitas Telkom,Unknown,"IWSN, Wireless Security, Android Forensics, Post-Quantum Cryptography",3.563,1.108,40,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6718453,TAHTA AMRILLAH,Universitas Airlangga,S1 - Rekayasa Nanoteknologi,"Nanotechnology, Nanoscience, Nanomaterial Synthesis, Functional Materials",2.534,1.115,2.534,1.115
https://sinta.kemdiktisaintek.go.id/authors/profile/6034719,FAUZAN,Universitas Andalas,S3 - Teknik Sipil,structural and civil engineering,3.218,971,2.874,804
https://sinta.kemdiktisaintek.go.id/authors/profile/6749103,HERYANTO,Universitas Hasanuddin,S1 - Fisika,material physics,3.177,934,2.636,735
https://sinta.kemdiktisaintek.go.id/authors/profile/260196,SUGIARTO,Universitas Syiah Kuala,S2 - Teknik Sipil,"Transportation Planning, Transport Policy, Travel Behavior Analysis, Traffic Safety",3.688,918,950,550
https://sinta.kemdiktisaintek.go.id/authors/profile/6006638,ALAM RAHMATULLOH,Universitas Siliwangi,S1 - Informatika,"Microservices, Artificial Intelligence, IoT, Microservices, Artificial Intelligence, IoT, Security Systems, Security Systems, Service Computing, Service Computing",3.841,1.498,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6074177,SITI FATIMAH,Universitas Negeri Padang,S1 - Pendidikan Sejarah,"History, Cultural, Tourism, Gender, Social Science",2.692,1.254,2.692,1.254
https://sinta.kemdiktisaintek.go.id/authors/profile/5989087,KUN HARISMAH,Universitas Muhammadiyah Surakarta,S2 - Teknik Kimia,"Synthesis organic, natural products stevia, herbal, essensial oils, clove",4.388,1.410,5.746,1.947
https://sinta.kemdiktisaintek.go.id/authors/profile/6051668,DEDI IRAWAN,Universitas Riau,S2 - Pendidikan Fisika,Optoelectronics,3.347,1.370,3.345,1.370
https://sinta.kemdiktisaintek.go.id/authors/profile/6694428,ARIEF RAMADHAN,Universitas Telkom,S1 - PJJ Informatika,"Information Systems, e-Learning, Extended Reality, Software Engineering, Metaverse",3.310,1.100,40,40
https://sinta.kemdiktisaintek.go.id/authors/profile/6120545,ANDRYANTO. A,Politeknik Pertanian Negeri Pangkajene Kepulauan,D4 - Pengolahan dan Penyimpanan Hasil Perikanan,Computer Science,2.878,1.097,1.604.150.000,1.566.580.000
https://sinta.kemdiktisaintek.go.id/authors/profile/5992683,RAHMAT SAFE'I,Universitas Lampung,S2 - Kehutanan,"Forest Health, Forestry",2.862,1.082,2.862,1.082
https://sinta.kemdiktisaintek.go.id/authors/profile/6012131,IMAM SANTOSO,Universitas Brawijaya,S3 - Teknologi Industri Pertanian,,3.072,1.069,3.072,1.069
https://sinta.kemdiktisaintek.go.id/authors/profile/6706090,MUCHAMAD ARIF AL ARDHA,Universitas Negeri Surabaya,S3 - Pendidikan Jasmani,"Physical Education, Sport Biomechanics, Motion Analysis, Sport Science, Early Childhood Education",2.529,1.057,2.735.340.000,1.851.840.000
https://sinta.kemdiktisaintek.go.id/authors/profile/5049,HADIYANTO,Universitas Diponegoro,S2 - Epidemiologi,"Chemical Engineering, Chemical Engineering, Chemical Engineering, Bioprocess, Bioprocess, Bioprocess, Food Engineering, Food Engineering, Food Engineering, Microalgae., Microalgae., Microalgae.",9.798,1.865,813.133.000,222.285.000
https://sinta.kemdiktisaintek.go.id/authors/profile/6709385,HIDAYAT ARIFIN,Universitas Airlangga,Profesi - Pendidikan Profesi Ners,Nursing,2.937,932,2.937,932
https://sinta.kemdiktisaintek.go.id/authors/profile/23059,SURAHMA ASTI MULASARI,Universitas Ahmad Dahlan,S2 - Kesehatan Masyarakat,"Kesehatan Masyarakat, kesehatan lingkungan, kebijakan & manajemen pengelolaan lingkungan",6.263,1.420,4.338,1.000
https://sinta.kemdiktisaintek.go.id/authors/profile/5986007,YUDA TURANA,Universitas Katolik Indonesia Atma Jaya,Profesi - Profesi Dokter,Neurologi,3.160,930,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6005600,IRMA ISNAFIA ARIEF,Institut Pertanian Bogor,S1 - Teknologi Hasil Ternak,"lactic acid bacteria, lactic acid bacteria, probiotic, probiotic, milk and meat processing, animal product technology, milk and meat processing, animal product technology",4.062,1.126,4.062,1.126
