twt,label
Tanpa uang dan pekerjaan hidup ga akan berjalan temen temen. Udah muak sama obat kemarin sampe overdosis obat tapi ga meninggal Dan bangun lagi dengan meratapi nasib yang sama padahal lulusan jalur undangan tapi harus berhenti kuliah karena anxiety yang parah takut di keramaian,gangguan
Gwa setiap ada notif wa kayak ada anxiety gitu kalo liat info yang berkaitan dengan kuliah karna kayak ada academic pressure gitu ,gangguan
@masjalah Aku pernah juga sih susah tidur karena cemas sampe sekarang sebenarnya kalo disuruh dateng ke kantor desa tuh anxiety. Jadi aku dengerin suara hujan tanpa bermimpi langsung terlelap dengerinnya.,gangguan
belum makan tapi emang ga nafsu makan sih kalo anxiety lagi high gini masih khawatir banget sama anabul lagi intensive care di vet.. (mana vet nya jauh pula) tidur pun tadi cuma 1 jam ga nyenyak..,gangguan
gila 2 hari ini rasa anxiety itu muncul udah saatnya lari lagi,gangguan
 Kalian yang punya online shop suka stres ngga kalo liat saingan toko lain? Jadinya anxiety sakit perut sesek nafas khawatir toko kita kurang laku kalah saing ngga berjalan lama Tulis nasehat kalian dong biar ngga terlalu stres lagi,gangguan
Ternyata gue akan tetep marah kesel anxious dan meledak-ledak. Tapi bedanya sekarang gue bisa kontrol itu dalam sehari dan udah. Semua balik lagi jadi energi baik,gangguan
Anxious banget kayaknya makin parah,gangguan
Anxious gue makan parah deh ga bisa tidur sama sekali belakangan ini terlalu banyak yang dikhawatirin hampir gila rasanya bahasa Jepang gue ga improve sama sekali malah makin jelek gue pengen berhenti aja rasanya.,gangguan
kenapa ya aku kaya punya anxiety gitu ini hari ke 2 kerja tapi deg-degannya masih ada,gangguan
benci banget kalo udah anxious tengah malam,gangguan
awalnya aku masuk ruangan rapat setelah beberapa lama ngga ketemu mereka fisik sama hatiku rasanya berat banget. aku anxious dan menurutku kalo udah sampe ke fisik itu parah karena aku bukan tipe yang gampang anxiety. aku ngerasa semua benci aku. semua wajah mereka kayak blur.,gangguan
kenapa ya selalu anxiety tiap malem,gangguan
penasaran sumber luka yang mana yang bikin aku jadi punya anxiety sebesar ini. Luka sedalam apa sampe aku harus nerima kalo illness ini bisa ada di dalam diri aku selamanya.,gangguan
mulai anxious lagi gila wkwkwkkw gara gara stress sama kerjaan freelance,gangguan
Naudzubillah. Aku salah satu yang percaya kamu adalah siapa leader kamu. Kalo sekarang? Arghhh. Pulang ke rumah abis energy. Buka hp anxiety. Ga ngamuk sama anak udah prestasi.,gangguan
Ini yang dijelasin terapisku waktu hipnoterapi. Punya anxiety disorder agak lama emang gak bisa tidur itu bikin gila sih. Karena hal basic aku ga bisa rasain yaitu tidur gak punya kenyamanan. Semenjak sembuh jadi lebih mensyukuri hal hal kecil terutama tidur,gangguan
@masjalah Insom emang ga enak banget guys dulu gw sampe ke psikiater ternyata anxiety disorder tapi sebelum didiagnosa dokternya bilang banyak loh di dunia ini yang orang tidur cuma 5-6 jam tapi ga ada efek negatif ke badannya TAPI GW KURANG TIDUR DIKIT AJA OLENG JANGAN NGADI NGADI,gangguan
mengawali hari dengan anxiety karena kerjaan dan mengakhiri hari dengan anger,gangguan
Bagaimana cara belajar utk sidang kompre tanpa merasa tertekan demot mual gaenak badan stres anxiety gatal alergi dan sakit mata? ,gangguan
Anxiety meningkat tapi keluarga sedang tidak baik baik saja jadi apa itu mengurus diri sendiri,gangguan
Terakhir anxiety kumat waktu KKN.. Demi sesek napas takut gemeter.. Takut ga bisa sidang..,gangguan
Udah di tahap anxiety kalo ninggalin HP krn notif kerjaan ga berhenti henti kaya ada aja yang harus diurus ,gangguan
Adaptasi di tempat kerja Untuk saat ini sulit anxiety merasa tidak diperhatikan dan disendirikan Takut untuk bicara Padahal udah tau teorinya pokoknya join join circle orang Tapi kok berat banget ya Sampe sekarang tiap berangkat sekolah rasanya berat ga bisa se enjoy di sekolah lama,gangguan
pagi ini ngerasa anxious banget entah ada apa atau akan ada apa tapi tubuh rasanya seperti mengaktifkan mode perlindungan diri ,gangguan
hoooo jangan ditanya rambut yang rontok seberapa banyak benih2 eksim jerawat yg ga sembuh2 countless anxious feelings bahkan mikirin sendiri aja ga mampu ,gangguan
Dadaku sakit banget benci banget sama anxiety ini kalo lagi kumat dan ada hal yg dikhawatirin,gangguan
anxious tremor ngefreeze dll dkk,gangguan
seriously guys gue cape kerja full time sekaligus kuliah magister. anxiety mulu YA ALLAH Please,gangguan
Anxious gua kambuh karena ada audit padahal ga ada yang salah tapi kok gua cemas banget?!!! Sampe lemes badan gua,gangguan
 guys kalian yang punya anxiety kalo tiba tiba itu kambuh gimana? semenjak gempa kemaren aku jadi takut banget dan kayanya pikiran jadi mikir kemana mana dan dadaku sesek,gangguan
gw anxious terus deh minggu ini kenapa ya,gangguan
Gila ya baru tadi di jalan gue mulai kayak anxious dan ovt gajelas gitu aja sih sebenernya pas sampe rumah langsung minum obat terus scroll tiktok bentar bener-bener langsung flat bahkan kepikiran yg tadi aja nggak nggak ada setengah jam loh gila tuh obat ,gangguan
apa apa anxiety pengen nangis duluan ,gangguan
anxious banget gw sumpah sampai gemeteran,gangguan
@nicsap Nonton ini ga bikin anxious kalo take off kan ya?,gangguan
bener-bener masalah skripsi tuh nguras mental banget nyampe anxious dan gemeteran gini,gangguan
Kenapa ya aku suka anxious dan ovt padahal klo diliat orang lain tuh aman-aman kalo aku udah anxious sama ovt sama kejadian yang belum terjadi....,gangguan
GW UDAH MULAI ANXIOUS DAN GEMETER HEBAT,gangguan
Kok nular ya...minum obat dokter beneran jadi tambah sakit terus sekarang merasakan anxiety naik motor ....,gangguan
Gimana nasib gue lusa nanti udah anxiety duluan Tiap hari anxiety kerjaan,gangguan
bener bener mikirin fakultas sendiri rasanya kayak nyedot energi banget juga kalo bicara masalah ppkmb benar benar bikin triggered sampe sesek di dada idk what's wrong maybe my anxious feel,gangguan
masih dalam suasana mual karena anxious seminggu udah nih. ,gangguan
beneran baru kali ini merasakan each time i got anxiety or stressed out asam lambng pun langsung beraksi,gangguan
Ada ga yang pernah ngerasa anxiety nya muncul lumayan parah? Takut kalo sendirian sesek nafas kaya tenggelam apa udah perlu konsul ke psikolog ya?,gangguan
Gw gabisa hidup kaya gini terus anxiety (kadang sesak nafas) makan ga enak tidur ga nyenyak. gw kenapa sih? ,gangguan
Hari hari nangis terus kemarin nangis karena anxious hari ini nangis karena bersyukur. Semoga senantiasa diberi kewarasan hingga akhir hayat,gangguan
@lemon_injar kayak diagnosis aku dulu pas 2021 soalnya sebelum anxiety aku kambuh ini aku sadar lagi di fase depresi karena males ngapa ngapain yang males banget ga ada semangat gitu,gangguan
capek orang stress bikin anxiety gua kambuh.,gangguan
@ogiehart Aku punya mental health issue salah satunya anxiety bisa membahayakan diri sendiri dan orang lain kalau Di kondisi lalu lintas tertentu,gangguan
kayak ngerasa burnout..,gangguan
GILA BANGET GW BURNOUT,gangguan
@Fallin_mx iya kak ini beberapa hari tidurnya kurang lagi burnout juga soal kerjaan. mantapnya.:(,gangguan
pengen balik lagi jujur tapi burnout parah di situ kalaupun joki rasanya sayang aja gitu aku juga pengen nyimak story nya sendiri tapi belum ada semangat,gangguan
bangun jam 12 buat kaji ulang semua tambahan burn out bgt gilzz kimia fisika ak skip pliss.. pusink bgt,gangguan
@rafayelpainter Aku akhir akhir ini lagi burnout banget karena harus revisi tugas proker,gangguan
Burnout beberapa hari. ngapa ngapain kayak ga enak aja,gangguan
lagi burnout parah,gangguan
Burnout banget rasanya beberapa hari. Sampe pusing banget,gangguan
Liburan kuliah 3 bulan dan itu di rumah aja. Akhirnya burnout parah sampai overthinking sendiri. Tapi suatu hari inisiatif buat coba lari sendiri dan ternyata ini efektif banget buat burnoutku,gangguan
Dari semalem kesel banget ke suami. Dia udah tau kalo hari kemarin tuh aku burnout banget anakku maunya nyusu terus gk mau lepas. Terus dia bilang katanya kalo sore ga hujan mau diajak jalan-jalan.,gangguan
burn out banget,gangguan
