url,nama,perguruan_tinggi,program_studi,bidang,sinta_score_overall,sinta_score_3yr,affil_score_overall,affil_score_3yr
https://sinta.kemdiktisaintek.go.id/authors/profile/129111,SULISWORO KUSDIYATI,Universitas Islam Bandung,Unknown,"Psikologi, Psikologi Perkembangan, Psikologi Pendidikan, Psikologi Klinis Anak, Kecerdasan",550,224,559,224
https://sinta.kemdiktisaintek.go.id/authors/profile/5985185,RAKHMAT PURNOMO,Universitas Bhayangkara Jakarta Raya,S1 - Informatika,"Artificial Intelligence, Data science, Software Engineering, Computer netowork",458,252,458,252
https://sinta.kemdiktisaintek.go.id/authors/profile/6115448,MERI SRI WAHYUNI,Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,S1 - Sistem Informasi,"data mining, expert system, embed system",161,96,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5997122,AMIR MURTAKO,Universitas Pancasila,S1 - Teknik Informatika,Artificial Intelligence,204,53,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/5998758,RAHMAD AL RIAN,Universitas Muhammadiyah Riau,S1 - Pendidikan Informatika,"Information Technology, Data Analyst, Big Data, artificial intelligence",45,4,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6734528,AMINUDDIN INDRA PERMANA,Universitas Pembangunan Panca Budi,S1 - Sistem Komputer,"Data Mining, Kriptografi, Kecerdasan Buatan",184,129,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6748562,YUYUN KHAIRUNISA,Politeknik Negeri Media Kreatif,D4 - Teknologi Permainan,"Artificial Intelligence, Interactive Digital Media, Digital Games, Data Science",951,500,1.070,565
https://sinta.kemdiktisaintek.go.id/authors/profile/3494,EKO DARMANTO,Universitas Muria Kudus,S1 - Sistem Informasi,"Basis Data, Kecerdasan Buatan, Soft Computing",478,150,478,150
https://sinta.kemdiktisaintek.go.id/authors/profile/5976224,I GEDE PARTHA SINDU,Universitas Pendidikan Ganesha,S1 - Pendidikan Teknik Elektro,"Multimedia, Educational Technology, Virtual Reality, Augmented Reality, Artificial Intelligence",1.256,339,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6730487,VENY CAHYA HARDITA,STMIK Palangka Raya,S1 - Teknik Informatika,kecerdasan buatan,181,122,181,122
https://sinta.kemdiktisaintek.go.id/authors/profile/6095138,RITA HAMDANI,Sekolah Tinggi Manajemen Informatika dan Komputer Triguna Dharma,S1 - Sistem Informasi,"Sistem Pendukung Keputusan, Sistem Pakar, Kecerdasan Buatan",270,118,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6023445,AHMAD RIO ADRIANSYAH,Sekolah Tinggi Teknologi Terpadu Nurul Fikri,S1 - Teknik Informatika,"Artificial intelligence, Data science, Machine learning, Evolutionary systems",164,56,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6001360,MUHAMMAD ARHAMI,Politeknik Negeri Lhokseumawe,D4 - Teknik Informatika,"Data Mining, Machine Learning, Artificial Intelligence, Data Science, Software Engineering",1.423,562,0,0
https://sinta.kemdiktisaintek.go.id/authors/profile/6155609,SUWARNO,Universitas Internasional Batam,S1 - Sistem Informasi,"Computer Science, Data Science, Machine Learning, Artificial Intelligence",780,336,780,336
